ac_no,Candidate,Party,% of Votes,Total Votes,,
227,Gorelal,Independent,0.21%,"69,6",,
227,Monika,Bahujan Mukti Party,0.17%,"58,5",,
227,Ganesh Ram Rajak,Aam Aadmi Party,0.17%,"57,5",,
228,DR. MANOJ KUMAR,Bharatiya Janata Party,40.14%,"10,5432",,
228,RAM PRAKASH,Samajwadi Party,30.44%,"79,947",,
228,RAM PHOOL NISHAD,Bahujan Samaj Party,18.01%,"47,299",,
228,RAJKUMARI SINGH,Indian National Congress,6.26%,"16,437",,
228,VIJAY DWIVEDI,Jan Adhikar Party,1.6%,"42,04",,
228,JAMAL ALAM,Communist Party of India,1.15%,"30,09",,
228,NOTA,None of the Above,0.94%,"24,59",,
228,ANANTRAM,Bhartiya Shakti Chetna Party,0.71%,"18,75",,
228,BHAVANEEDEEN,Rashtriya Shoshit Samaj Party,0.39%,"10,12",,
228,RAJENDRA KUMAR,Desh Shakti Party,0.38%,"10,00",,
229,MANISHA,Bharatiya Janata Party,53.79%,"13,9373",,
229,CHANDRAWATI VERMA,Samajwadi Party,29.87%,"77,394",,
229,PRASANNA BHUSHAN,Bahujan Samaj Party,9.37%,"24,266",,
229,KAMLESH KUMAR VERMA,Indian National Congress,1.99%,"51,64",,
229,NOTA,None of the Above,1.65%,"42,68",,
229,DHARMENDRA SINGH GAUTAM,Bhartiya Shakti Chetna Party,1.17%,"30,21",,
229,MATADEEN,Bahujan Mukti Party,0.8%,"20,77",,
229,PREETI KANNOJEYA,Independent,0.76%,"19,60",,
229,NARENDRA KUMAR,Independent,0.61%,"15,85",,
230,RAKESH KUMAR GOSWAMI,Bharatiya Janata Party,45.61%,"94,490",,
230,MANOJ TIWARI,Samajwadi Party,24.64%,"51,043",,
230,SANJAY KUMAR SAHU,Bahujan Samaj Party,18.48%,"38,296",,
230,SAGAR,Indian National Congress,4.55%,"94,23",,
230,KULDEEP KUSHWAHA,Jan Adhikar Party,2.2%,"45,56",,
230,NOTA,None of the Above,0.73%,"15,14",,
230,MAHESH,Independent,0.55%,"11,45",,
230,KAMLESH KUMAR,Bhartiya Shakti Chetna Party,0.53%,"11,02",,
230,EHSAN,Bahujan Mukti Party,0.46%,"96,1",,
230,DEVRAJ,Independent,0.41%,"84,3",,
230,ANIL KUMAR,Independent,0.41%,"84,1",,
230,DEV PRATAP SINGH,Aazad Samaj Party (Kanshi Ram),0.33%,"69,4",,
230,Mahesh Kumar,Aam Aadmi Party,0.31%,"64,9",,
230,DEVENDRA KUMAR NAGAICH,Independent,0.31%,"63,5",,
230,ARJUN KUMAR,Independent,0.27%,"55,5",,
230,ANIL SINGH,Independent,0.21%,"43,2",,
231,BRIJBHUSHAN RAJPUT,Bharatiya Janata Party,45.75%,"10,2051",,
231,RAMJEEVAN,Samajwadi Party,26.97%,"60,170",,
231,VINOD KUMAR,Bahujan Samaj Party,18.42%,"41,087",,
231,NIRDOSH KUMAR DIXIT,Indian National Congress,3.22%,"71,87",,
231,SANTOSH SINGH,Jan Adhikar Party,2.27%,"50,74",,
231,NOTA,None of the Above,1.01%,"22,56",,
231,ANIL KUMAR SINGH GOUR,Independent,0.89%,"19,77",,
231,PREMNARAYAN,Aam Aadmi Party,0.56%,"12,45",,
231,KUNVARLAL,Right to Recall Party,0.47%,"10,58",,
231,BHUVANENDRA NARAYAN SINGH,Independent,0.44%,"97,3",,
232,RAMKESH NISHAD,Bharatiya Janata Party,44.24%,"86,812",,
232,BRAJESH KUMAR PRAJAPATI,Samajwadi Party,29.76%,"58,387",,
232,JAYRAM SINGH,Bahujan Samaj Party,20.1%,"39,450",,
232,RAMCHANDRA,Communist Party of India,1.46%,"28,68",,
232,ADISHAKTI,Indian National Congress,1.32%,"25,86",,
232,NOTA,None of the Above,1.16%,"22,67",,
232,MADHURAJ,Independent,0.55%,"10,82",,
232,ARVIND KUMAR,Independent,0.53%,"10,35",,
232,MOOLCHANDRA,Bhartiya Shakti Chetna Party,0.47%,"91,3",,
232,UTTAM,Independent,0.42%,"82,1",,
233,VISHAMBHAR SINGH YADAV,Samajwadi Party,38.75%,"79,614",,
233,AJAY KUMAR,Bharatiya Janata Party,35.15%,"72,221",,
233,RAMSEVAK SHUKLA,Bahujan Samaj Party,18.01%,"37,009",,
233,ASHOK KUMAR,Jan Adhikar Party,2.17%,"44,58",,
233,NOTA,None of the Above,1.48%,"30,47",,
233,GAJENDRA SINGH PATEL,Indian National Congress,1.03%,"21,12",,
233,SIMMI BURMAN,Aazad Samaj Party (Kanshi Ram),0.95%,"19,44",,
233,Dr. RAM CHANDRA SARAS,Communist Party of India,0.77%,"15,89",,
233,SAMTA DEVI,Bahujan Mukti Party,0.4%,"81,7",,
233,JIYALAL DHURIYA,Bhartiya Shakti Chetna Party,0.39%,"80,4",,
233,RAJBAHADUR KUSHWAHA,RASHTRIYA VIKLANG PARTY,0.36%,"74,9",,
233,JAGROOP BHASKAR,Ambedkar Samaj Party,0.28%,"58,5",,
233,JAYPAL,Bharat Swabhiman Party,0.25%,"50,4",,
234,Ommani Varma,Bharatiya Janata Party,38.91%,"83,263",,
234,Kiran Verma,Samajwadi Party,35.77%,"76,544",,
234,GAYACHARAN DINKAR,Bahujan Samaj Party,17.23%,"36,871",,
234,SHANKAR LAL,Jan Adhikar Party,3.06%,"65,58",,
234,NOTA,None of the Above,1.6%,"34,20",,
234,DAYARAM,Communist Party of India,1.19%,"25,50",,
234,PAWAN DEVI,Indian National Congress,0.84%,"18,06",,
234,Lavlesh Kumar,Ambedkar Samaj Party,0.62%,"13,20",,
234,RITESH KUMAR,Aazad Samaj Party (Kanshi Ram),0.45%,"97,3",,
234,RADHE SHYAM,Aam Aadmi Party,0.31%,"66,2",,
235,PRAKASH DWIVEDI,Bharatiya Janata Party,41.34%,"81,557",,
235,MANJULA SINGH,Samajwadi Party,33.63%,"66,343",,
235,DHEERAJ PRAKASH,Bahujan Samaj Party,19.4%,"38,284",,
235,HANUMAN DAS,Jan Adhikar Party,1.91%,"37,76",,
235,NOTA,None of the Above,1.01%,"19,91",,
235,LAXMINARAYAN,Indian National Congress,0.96%,"18,94",,
235,DEVNATH YADAV,Communist Party of India,0.79%,"15,50",,
235,GULAB CHANDRA KUSHWAHA,Bhartiya Shakti Chetna Party,0.5%,"99,0",,
235,RAM PRASAD SINGH,Aam Janta Party (India),0.46%,"91,5",,
236,ANIL KUMAR ANIL PRADHAN,Samajwadi Party,43.23%,"10,4771",,
236,CHANDRIKA PRASAD UPADHYAY,Bharatiya Janata Party,34.62%,"83,895",,
236,PUSHPENDRA SINGH,Bahujan Samaj Party,15.97%,"38,711",,
236,NOTA,None of the Above,1.36%,"32,90",,
236,AVINASH CHANDRA TRIPATHI,Jan Adhikar Party,1%,"24,20",,
236,AMIT YADAV,Communist Party of India,0.89%,"21,51",,
236,NIRMALA,Indian National Congress,0.89%,"21,48",,
236,RAMBHAROSA,Bundelkhand Kranti Dal,0.72%,"17,48",,
236,HRIDAYESH KUMAR VERMA,Independent,0.62%,"14,91",,
236,SANTOSHILAL alias PINTU,Aam Aadmi Party,0.44%,"10,77",,
236,SHIVSHARAN,Ambedkar Samaj Party,0.27%,"65,5",,
237,AVINASH CHANDRA DWIVEDI,Apna Dal (Soneylal),35.17%,"73,132",,
237,VEER SINGH PATEL,Samajwadi Party,34.67%,"72,084",,
237,BALVEER PAL,Bahujan Samaj Party,21.82%,"45,367",,
237,RANJANA BARATI LAL PANDEY,Indian National Congress,1.98%,"41,10",,
237,NOTA,None of the Above,1.6%,"33,25",,
237,SHIVPOOJAN,Jan Adhikar Party,1.37%,"28,49",,
237,AVINASH CHANDRA TRIPATHI,Aam Aadmi Party,0.99%,"20,54",,
237,RAMSURAT,Ambedkar Samaj Party,0.78%,"16,25",,
237,PUSHPENDRA KUMAR TRIPATHI,Bundelkhand Vikas Dal,0.65%,"13,51",,
237,ALI HUSAIN,Independent,0.58%,"12,16",,
237,RAJPRATAP,Independent,0.39%,"81,7",,
238,RAJENDRA SINGH PATEL,Bharatiya Janata Party,41.21%,"78,503",,
238,MADAN GOPAL,Samajwadi Party,31.66%,"60,311",,
238,ADITYA PANDEY,Bahujan Samaj Party,20.58%,"39,205",,
238,KAMLA DEVI,Indian National Congress,1.86%,"35,50",,
238,ANOOP SACHAN,Jan Adhikar Party,1.18%,"22,50",,
238,NOTA,None of the Above,0.8%,"15,29",,
238,VIKAS PAL,Rashtra Uday Party,0.68%,"12,92",,
238,SANTOSH SAHNI,Vikassheel Insaan Party,0.44%,"83,8",,
238,VINIT KUMAR,Aam Aadmi Party,0.35%,"67,6",,
238,RAMGOPAL UTTAM,Arjak Adhikar Dal,0.35%,"66,8",,
238,RAM KHELAVAN,Aazad Samaj Party (Kanshi Ram),0.31%,"59,5",,
238,AMAR SINGH,Bhartiya Vanchitsamaj Party,0.27%,"51,4",,
238,RAM SARAN SAHU,Sabhi Jan Party,0.17%,"32,6",,
238,BRIJENDRA KUMAR,Bharatiya Samta Samaj Party,0.13%,"24,3",,
239,Jay Kumar Singh Jaiki,Apna Dal (Soneylal),40.96%,"78,165",,
239,Rameshwar Dayal,Samajwadi Party,38.97%,"74,368",,
239,Sushil Kumar,Bahujan Samaj Party,12.24%,"23,358",,
239,Abhimanyu Singh,Indian National Congress,2.95%,"56,37",,
239,Laxmi Sagar,Jan Adhikar Party,1.08%,"20,70",,
239,Ganga Vishun,Communist Party of India,1.04%,"19,89",,
239,NOTA,None of the Above,0.9%,"17,26",,
239,MANOJ KUMAR,Aam Aadmi Party,0.62%,"11,86",,
239,MAHENDRA PAL KEWAT,Desh Bachao Party,0.47%,"90,5",,
239,Roshani Rajpoot,Sabka Dal United,0.4%,"76,0",,
239,Shivbali,Independent,0.34%,"65,7",,
240,Chandra Prakash,Samajwadi Party,45.24%,"96,839",,
240,VIKRAM SINGH,Bharatiya Janata Party,41.22%,"88,238",,
240,AYUV AHMAD,Bahujan Samaj Party,9.51%,"20,363",,
240,MOHSIN AHMAD,Indian National Congress,0.84%,"18,03",,
240,NOTA,None of the Above,0.84%,"17,93",,
240,KULDEEP SINGH,Independent,0.67%,"14,44",,
240,AVINASH RAO,Peoples Party of India (Democratic),0.58%,"12,49",,
240,VIMAL KUMAR,Apni Zindgi Apna Dal,0.32%,"67,5",,
240,RATNA SINGH,Bhartiya Shakti Chetna Party,0.23%,"48,9",,
240,BHOLA SINGH,Jan Adhikar Party,0.22%,"47,1",,
240,BRAJBHAAN,Aam Aadmi Party,0.18%,"37,6",,
240,PHOOL SINGH LODHI,Bahujan Mukti Party,0.14%,"31,0",,
241,Vikas Gupta,Bharatiya Janata Party,44.4%,"71,231",,
241,VISHAMBHAR PRASAD NISHAD,Samajwadi Party,36.3%,"58,225",,
241,CHANDAN SINGH,Bahujan Samaj Party,13.74%,"22,045",,
241,NOTA,None of the Above,1.17%,"18,84",,
241,HEMLATA,Indian National Congress,1.09%,"17,53",,
241,SUSHIL SINGH PATEL,Communist Party of India,1%,"16,05",,
241,ANURAG SINGH,Independent,0.68%,"10,84",,
241,SHYAMRANI,Independent,0.49%,"78,3",,
241,LAL SINGH,Peoples Party of India (Democratic),0.4%,"64,5",,
241,SHEELAM DEVI,Bhartiya Shakti Chetna Party,0.33%,"52,3",,
241,VINOD KUMAR,Rashtriya Krantikari Samajwadi Party,0.21%,"34,4",,
241,NARENDARA KUMAR,Lok Jan Shakti Party,0.19%,"29,7",,
242,USHA MAURYA,Samajwadi Party,48.78%,"91,884",,
242,RANVENDRA PRATAP SINGH,Bharatiya Janata Party,35.41%,"66,703",,
242,FAREED AHMAD,Bahujan Samaj Party,11.15%,"21,009",,
242,SHIVAKANT TIWARI,Indian National Congress,2.68%,"50,42",,
242,NOTA,None of the Above,0.94%,"17,65",,
242,ABDUL RAJIK,Aam Aadmi Party,0.37%,"69,1",,
242,MOHAMMAD HARIS,Independent,0.35%,"65,0",,
242,RAMESH SINGH,Sabka Dal United,0.33%,"61,5",,
243,KRISHNA PASWAN,Bharatiya Janata Party,41.87%,"83,735",,
243,RAMTHIRTH PARAMHANS,Samajwadi Party,39.12%,"78,226",,
243,DASHARATH LAL,Bahujan Samaj Party,11.06%,"22,115",,
243,OMPRAKASH GIHAR,Indian National Congress,1.89%,"37,73",,
243,RAM KRISHNA HEGDE,Communist Party of India,1.09%,"21,71",,
243,NOTA,None of the Above,1.08%,"21,62",,
243,SURENDRA,Independent,0.65%,"12,93",,
243,MAIKOO LAL,Independent,0.6%,"11,90",,
243,RAM BARAN GAUTAM,Peoples Party of India (Democratic),0.5%,"99,6",,
243,ARVIND KUMAR,Sabka Dal United,0.45%,"90,9",,
243,NILAM SONI,Vikassheel Insaan Party,0.45%,"90,9",,
243,AJAY KUMAR,Shiv Sena,0.41%,"82,8",,
243,VIJAY KUMAR,Aam Aadmi Party,0.31%,"62,9",,
243,KESHAN LAL,Independent,0.29%,"58,9",,
243,AJAY CHAODHARY,Bhartiya Shakti Chetna Party,0.23%,"46,1",,
244,"Aradhana Mishra, Mona",Indian National Congress,50.27%,"84,334",,
244,NAGESH PRATAP SINGH URF CHHOTE SARKAR,Bharatiya Janata Party,41.49%,"69,593",,
244,BANKELAL PATEL,Bahujan Samaj Party,2.93%,"49,14",,
244,NOTA,None of the Above,1.45%,"24,38",,
244,DEVENDR PRATAP,Independent,0.9%,"15,09",,
244,RAMRAJ SAROJ,Bahujan Mukti Party,0.82%,"13,83",,
244,KULDEEP SINGH,Independent,0.39%,"64,9",,
244,SAMAY NATH,Moulik Adhikar Party,0.38%,"64,0",,
244,Surendra Singh,Shiv Sena,0.29%,"48,5",,
244,Ravindra Kumar,Sarvodaya Bharat Party,0.24%,"40,6",,
244,AJEET,Aam Aadmi Party,0.21%,"34,7",,
244,Lalji,Janata Dal (United),0.18%,"30,1",,
244,DURGESH KUMAR,Lok Dal,0.17%,"28,4",,
244,AWADHESH,Apana Dal Balihari Party,0.14%,"23,9",,
244,KARAN ALIS KARAN BAHADUR SINGH,Rashtriya Rashtrawadi Party,0.14%,"23,2",,
245,VINOD KUMAR,Jansatta Dal Loktantrik,40.34%,"67,282",,
245,GIRISH CHANDRA,Samajwadi Party,30.88%,"51,515",,
245,KESHAV PRASAD,Bharatiya Janata Party,18.22%,"30,391",,
245,SUSHIL KUMAR,Bahujan Samaj Party,5.23%,"87,23",,
245,VIJAY PAL SAROJ,Lok Janshakti Party(Ram Vilas),1.21%,"20,18",,
245,NOTA,None of the Above,1.17%,"19,59",,
245,VEENA RANI,Indian National Congress,0.9%,"15,01",,
245,RAM PRATAP SAROJ,Bahujan Mukti Party,0.75%,"12,45",,
245,SITA RAM,Independent,0.67%,"11,20",,
245,VINOD KUMAR,Independent,0.63%,"10,50",,
246,RAGHURAJ PRATAP SINGH,Jansatta Dal Loktantrik,50.58%,"99,612",,
246,GULSHAN YADAV,Samajwadi Party,35.19%,"69,297",,
246,SINDHUJA MISHRA SENANI,Bharatiya Janata Party,8.36%,"16,455",,
246,MU PHAHEEM,Bahujan Samaj Party,1.7%,"33,45",,
246,NOTA,None of the Above,1.1%,"21,61",,
246,DHARMARAJ,Bahujan Mukti Party,1.01%,"19,85",,
246,JAYESH SINGH,Independent,0.69%,"13,68",,
246,HARIVANSH KUMAR,Independent,0.45%,"89,5",,
246,YOGESH KUMAR,Indian National Congress,0.28%,"54,9",,
246,TANVEER,Independent,0.25%,"49,3",,
246,DHIRENDRA KUMAR,Independent,0.2%,"40,0",,
246,SEEMA,Independent,0.19%,"38,0",,
247,JEET LAL,Apna Dal (Soneylal),43.21%,"86,829",,
247,SAURABH SINGH,Samajwadi Party,19.3%,"38,777",,
247,SANJAY PANDEY,Independent,11.43%,"22,962",,
247,MOHD ASHFAQ,Jan Adhikar Party,10.09%,"20,271",,
247,SANJAY,Bahujan Samaj Party,8.28%,"16,633",,
247,PRASHANT SINGH,Indian National Congress,0.95%,"19,10",,
247,NOTA,None of the Above,0.95%,"19,00",,
247,MAHARANI DEEN,Communist Party of India,0.93%,"18,71",,
247,AJAY SHARMA,Bharatiya Sarvjan Vikas Party,0.77%,"15,43",,
247,PANKAJ PAL,Aam Aadmi Party,0.74%,"14,94",,
247,SARITA PAL,Rashtra Uday Party,0.63%,"12,67",,
247,MOHD KHALID,Independent,0.51%,"10,23",,
247,RAMDARASH SAROJ,Bahujan Mukti Party,0.42%,"84,1",,
247,SHIV MURAT RAM SMUJ SHARMA,Moulik Adhikar Party,0.33%,"65,5",,
247,ANIL KUMAR,Log Party,0.32%,"63,6",,
247,SUSHIL KUMAR,Shiv Sena,0.28%,"56,0",,
247,SUSHIL KUMAR TIWARI,Subhashwadi Bhartiya Samajwadi Party (Subhas Party),0.28%,"55,6",,
247,RAJESH,Independent,0.23%,"46,4",,
247,VISHNUDATT,Independent,0.21%,"41,5",,
247,VINOD,Rashtriya Janshanti Party,0.16%,"32,3",,
248,RAJENDRA KUMAR,Bharatiya Janata Party,45.8%,"89,762",,
248,KRISHNA PATEL,Apna Dal (Kamerawadi),33.01%,"64,699",,
248,ASHUTOSH TRIPATHI,Bahujan Samaj Party,9.82%,"19,249",,
248,ISRAR AHMAD,All India Majlis-E-Ittehadul Muslimeen,3.31%,"64,80",,
248,NEERAJ TRIPATHI,Indian National Congress,3.23%,"63,26",,
248,Ram Bahadur Sharma,Moulik Adhikar Party,0.78%,"15,33",,
248,NOTA,None of the Above,0.68%,"13,36",,
248,ASHOK KUMAR,Independent,0.68%,"13,24",,
248,Paritosh Kumar,Independent,0.67%,"13,12",,
248,HARIKESH KUMAR,Independent,0.61%,"12,04",,
248,DINESH KUMAR UPADHYAY,Aam Aadmi Party,0.49%,"96,0",,
248,RAM AJOR,Bahujan Mukti Party,0.47%,"92,0",,
248,Bajrangi Lal,Kisan Party (Loktantrik),0.29%,"56,0",,
248,MOHAMMAD IRSHAD,Apana Dal Balihari Party,0.16%,"31,6",,
249,RAM SINGH,Samajwadi Party,48.73%,"10,8070",,
249,RAJENDRA PRATAP SINGH URF MOTI,Bharatiya Janata Party,38.79%,"86,019",,
249,FULCHANDRA,Bahujan Samaj Party,9.69%,"21,482",,
249,SUNITA,Indian National Congress,0.66%,"14,55",,
249,NOTA,None of the Above,0.61%,"13,58",,
249,RAM ABHILASH,Apana Dal Balihari Party,0.4%,"89,0",,
249,MUJAMMIL HUSSAIN,Jan Adhikar Party,0.38%,"83,3",,
249,KAUSHALENDRA PANDEY,Independent,0.32%,"71,0",,
249,Rajmani,SOCIALIST UNITY CENTRE OF INDIA (COMMUNIST),0.19%,"41,3",,
249,AJAY YADAV,Aam Aadmi Party,0.13%,"29,6",,
249,NAND LAL,Bahujan Mukti Party,0.11%,"23,6",,
250,RAKESH KUMAR VERMA ALIAS DR. R. K. VERMA,Samajwadi Party,40.05%,"75,583",,
250,ABHAY KUMAR ALIAS DHIRAJ OJHA,Bharatiya Janata Party,38.65%,"72,934",,
250,AJAY YADAV,Bahujan Samaj Party,11.35%,"21,411",,
250,ANIL KUMAR,All India Majlis-E-Ittehadul Muslimeen,6.23%,"11,748",,
250,NOTA,None of the Above,0.6%,"11,39",,
250,ABDUL WAHID,Indian National Congress,0.57%,"10,85",,
250,RAJESH KUMAR,Independent,0.4%,"74,6",,
250,ANURAG MISHRA,Aam Aadmi Party,0.37%,"69,2",,
250,HARISHANKAR PRAJAPATI,Bharatrashtra Democratic Party,0.36%,"67,9",,
250,DHARMENDRA KUMAR,Aazad Samaj Party (Kanshi Ram),0.3%,"56,4",,
250,SATYA PRAKASH,Atal Janshakti Party,0.28%,"52,9",,
250,SANJAY KUMAR ALIAS SANJAY RAJ PATEL,Janata Dal (United),0.28%,"52,6",,
250,LAL BAHADUR,Independent,0.25%,"48,0",,
250,BRIJLAL,Bahujan Mukti Party,0.16%,"30,6",,
250,RAMFER PANDEY,Meydhaa Party,0.16%,"29,3",,
251,DR. PALLAVI PATEL,Samajwadi Party,46.49%,"10,6278",,
251,KESHAV PRASAD MAURYA,Bharatiya Janata Party,43.28%,"98,941",,
251,MUNSAB ALI,Bahujan Samaj Party,4.41%,"10,073",,
251,JEETENDRA KUMAR,Independent,1.17%,"26,86",,
251,PRADEEP KUMAR,Independent,0.71%,"16,32",,
251,CHHEDDU,Independent,0.53%,"12,01",,
251,VIRENDRA KUMAR SAHU,Independent,0.44%,"10,04",,
251,GYAN SINGH,Sabka Dal United,0.39%,"88,5",,
251,SHER MOHAMMAD,All India Majlis-E-Ittehadul Muslimeen,0.38%,"86,3",,
251,SEEMA DEVI,Indian National Congress,0.37%,"84,5",,
251,NOTA,None of the Above,0.32%,"72,7",,
251,ARVIND SINGH,Independent,0.31%,"69,9",,
251,VIJAY KUMAR,Samarth Kisan Party,0.3%,"69,3",,
251,SHATRUJEET PAL,Rashtriya Samaj Paksha,0.18%,"42,2",,
251,DHIRAJ KUMAR,Bahujan Mukti Party,0.17%,"39,5",,
251,SANJIV KUMAR PANDA,Rashtra Uday Party,0.16%,"36,7",,
251,VISHNU KUMAR,Aam Aadmi Party,0.15%,"35,3",,
251,RAJESH KUMAR,Shiv Sena,0.14%,"31,7",,
251,RAJENDRA SONKAR (PANNA BHAI),Lok Dal,0.11%,"24,5",,
252,Indrajeet Saroj,Samajwadi Party,47.2%,"12,1506",,
252,Lal Bahadur,Bharatiya Janata Party,37.93%,"97,628",,
252,Neetu Kanojia,Bahujan Samaj Party,9.88%,"25,430",,
252,Arun Vidyarthi Advocate,Indian National Congress,1.37%,"35,24",,
252,Laakhan Singh Rajpasi,Jan Adhikar Party,1.1%,"28,26",,
252,NOTA,None of the Above,1.09%,"28,15",,
252,Harilal,Independent,0.55%,"14,19",,
252,Radheshyam Chaudhari,Independent,0.45%,"11,48",,
252,Balchandra,Independent,0.43%,"11,15",,
253,Pooja Pal,Samajwadi Party,39.65%,"88,818",,
253,Nagendra Pratap Singh Patel,Apna Dal (Soneylal),33.76%,"75,609",,
253,Atul Kumar Dwivedi,Bahujan Samaj Party,14%,"31,362",,
253,Anil Kumar Kesharwani,Jansatta Dal Loktantrik,2.27%,"50,89",,
253,Talat Azim,Indian National Congress,1.81%,"40,55",,
253,Mohibbul Haque,All India Majlis-E-Ittehadul Muslimeen,1.43%,"32,08",,
253,Amrawati,Independent,1.28%,"28,69",,
253,Danish Ali,Bahujan Mukti Party,1.25%,"27,95",,
253,Rajendra Kumar Singh Patel,Aazad Samaj Party (Kanshi Ram),0.88%,"19,60",,
253,NOTA,None of the Above,0.88%,"19,60",,
253,Sushil Chauhan,Independent,0.63%,"14,08",,
253,Archana Gautam,Independent,0.55%,"12,41",,
253,Vijay Kumar Ramdas Ravidas,Independent,0.53%,"11,89",,
253,Shashibhushan,Akhil Bharatiya Socialist Party,0.52%,"11,66",,
253,Rajeev Kumar,Lok Janshakti Party(Ram Vilas),0.29%,"64,9",,
253,Sanjay Singh,Independent,0.27%,"60,6",,
254,GURU PRASAD MAURYA,Bharatiya Janata Party,43.26%,"91,186",,
254,ANSAR AHMAD,Samajwadi Party,36.47%,"76,862",,
254,OM PRAKASH,Bahujan Samaj Party,12.95%,"27,286",,
254,LAKSHMI NARAYAN,Jansatta Dal Loktantrik,1.37%,"28,97",,
254,DURGESH PANDEY,Indian National Congress,1.13%,"23,91",,
254,GYAN PRAKASH MOURYA,Jan Adhikar Party,0.77%,"16,22",,
254,DILIP KUMAR KUSHWAHA,Independent,0.6%,"12,64",,
254,MITHLESH KUMAR PRAJAPATI,Independent,0.56%,"11,75",,
254,PARUL JAISWAL,Independent,0.3%,"63,5",,
254,VINOD KUMAR,Yuva Vikas Party,0.27%,"57,2",,
254,PRAVEEN KUMAR,Independent,0.27%,"56,0",,
254,NOTA,None of the Above,0.25%,"51,7",,
254,MANGLA PRASAD PAL,Rashtra Uday Party,0.24%,"51,4",,
254,UDAIBHAN SINGH YADEV,Independent,0.24%,"51,4",,
254,SANJAY PRAKASH SHUKLA,Aam Aadmi Party,0.22%,"46,7",,
254,JITENDRA KUMAR BHARTIYA,Lok Janshakti Party(Ram Vilas),0.21%,"44,8",,
254,VINOD KUMAR PANDEY,Independent,0.2%,"41,8",,
254,PANKAJ PANDEY,Akhil Bharatiya Socialist Party,0.18%,"38,0",,
254,SANJAYA KUMAR YADAV,Right to Recall Party,0.15%,"30,8",,
254,RAJESWARI PATEL,Jan Jan (United) Party,0.14%,"30,2",,
254,SHIVENDRA KUMAR,Independent,0.12%,"24,4",,
254,SUBHASH CHANDRA,Samyak Party,0.1%,"21,1",,
255,Geeta Shastri (Pasi),Samajwadi Party,40.99%,"91,474",,
255,Dr. Jamuna Prasad Saroj,Apna Dal (Soneylal),38.48%,"85,884",,
255,Anand Bharti,Bahujan Samaj Party,13.11%,"29,250",,
255,Sita Ram,All India Majlis-E-Ittehadul Muslimeen,2.3%,"51,28",,
255,Manoj Kumar Pasi,Indian National Congress,0.91%,"20,27",,
255,NOTA,None of the Above,0.77%,"17,12",,
255,Anil Kumar Gautam,Aazad Samaj Party (Kanshi Ram),0.73%,"16,22",,
255,Sudhir Kumar,Jansatta Dal Loktantrik,0.53%,"11,89",,
255,Rakesh Kumar Gautam,Independent,0.5%,"11,08",,
255,Pradeep Kumar Jatav,Ambedkarite Party of India,0.47%,"10,56",,
255,Lallan,Aam Aadmi Party,0.45%,"10,14",,
255,Ratnesh Kumar Chaudhari,Pragatisheel Samaj Party,0.43%,"95,5",,
255,Rakesh Kumar,Lok Samaj Party,0.34%,"75,0",,
256,Praveen Patel,Bharatiya Janata Party,42%,"10,3557",,
256,Mohd.Mujataba Siddiqui,Samajwadi Party,40.89%,"10,0825",,
256,Ram Taulan Yadav,Bahujan Samaj Party,13.4%,"33,036",,
256,Siddhanath Maurya,Indian National Congress,0.66%,"16,26",,
256,NOTA,None of the Above,0.63%,"15,48",,
256,Dr.Ashok Maurya,Peoples Party of India (Democratic),0.34%,"83,7",,
256,Mridula Singh,Jan Adhikar Party,0.33%,"80,5",,
256,Hari Lal Sahu,Independent,0.32%,"80,0",,
256,Vimal Kumar Gupta,Independent,0.28%,"68,3",,
256,Shyam Sundar Pal,Rashtriya Samaj Paksha,0.28%,"68,2",,
256,Bhanu Pratap Singh,Independent,0.21%,"52,2",,
256,Salik Ram,Bhartiya Kamgar Party,0.21%,"50,6",,
256,Ram Surat,Aam Aadmi Party,0.16%,"39,8",,
256,Rakesh Kumar,Loktantrik Janwadi Party,0.13%,"31,3",,
256,Sandeep Kumar,Bharat Vaibhav Party,0.1%,"24,4",,
256,Tahseen Ahmad,Akhil Bharatiya Socialist Party,0.08%,"20,6",,
257,VIJAMA YADAV,Samajwadi Party,40.09%,"91,142",,
257,RAKESH DHAR TRIPATHI,Apna Dal (Soneylal),35.27%,"80,186",,
257,GHANSHYAM PANDEY,Bahujan Samaj Party,15.36%,"34,912",,
257,MANJU MAURYA,Jan Adhikar Party,1.37%,"31,06",,
257,SANJAY TIWARI,Indian National Congress,1.31%,"29,71",,
257,MOHD AHMAD ANSARI,Peace Party,0.94%,"21,43",,
257,SANJU DEVI,Pragatisheel Samaj Party,0.85%,"19,39",,
257,AFATAB ALAM,Aazad Samaj Party (Kanshi Ram),0.6%,"13,73",,
257,NAREND KUMAR,Peoples Party of India (Democratic),0.56%,"12,82",,
257,KAMAL,Vikassheel Insaan Party,0.51%,"11,63",,
257,HARISHCHANDRA,Aam Aadmi Party,0.34%,"77,9",,
257,SUJEET KUMAR,Bharat Vaibhav Party,0.3%,"69,3",,
257,KRIPA SHANKAR YADAV,Independent,0.3%,"67,2",,
257,NOTA,None of the Above,0.29%,"65,4",,
257,VINOD KUMAR,Janadhar Shakti Party,0.24%,"55,0",,
257,DURVIJAY SINGH,Pragatisheel Manav Samaj Party,0.24%,"53,7",,
257,VIKASH YADAV,Independent,0.23%,"51,2",,
